Date,Sales
2021-01,1000
2021-02,1100
2021-03,1050
2021-04,1200
2021-05,1300
2021-06,1250
2021-07,1400
2021-08,1500
2021-09,1350
2021-10,1600
2021-11,1700
2021-12,1900
2022-01,1800
2022-02,1950
2022-03,1850
2022-04,2000
2022-05,2100
2022-06,2050
2022-07,2200
2022-08,2350
2022-09,2300
2022-10,2400
2022-11,2500
2022-12,2700
2023-01,2600
2023-02,2700
2023-03,2650
2023-04,2800
2023-05,2900
2023-06,2850
2023-07,3000
2023-08,3100
2023-09,3050
2023-10,3200
2023-11,3300
2023-12,3500
